SubjectArea,Subject,Band,Term,Definition
HASS,Economics and Business,Year 7 to Year 10,interdependence,Interactions between participants in the global economy to allocate scarce resources efficiently in the production and trade of goods and services.
HASS,Economics and Business,Year 7 to Year 10,intertextual references,"Associations or connections between one text and other texts that may be overt or less explicit. They can take the form of direct quotation, parody, allusion or structural borrowing."
HASS,Economics and Business,Year 7 to Year 10,invasion,Entrance as if to take possession or overrun. British colonisation was experienced by First Nations Australians as an invasion that denied their occupation of and connection to Country/Place.
HASS,Economics and Business,Year 7 to Year 10,kinship,"A system used to decide how people relate to each other and their roles, responsibilities and duties. A feature of First Nations Australians' social organisation and family relationships."
HASS,Economics and Business,Year 7 to Year 10,market,"Exchange of goods, services or resources between buyers and sellers."
HASS,Economics and Business,Year 7 to Year 10,multidimensional data,"Data that has many dimensions and values. The data is structured in many rows and columns and can be modelled and viewed in multiple dimensions, facilitating interpretation."
HASS,Economics and Business,Year 7 to Year 10,need,"Something that is necessary for survival (e.g. food, water, shelter)."
HASS,Economics and Business,Year 7 to Year 10,non-government organisation (NGO),"A non-profit, voluntary, independent group, organised at a local, national or international level, whose purpose is to address social or political issues such as humanitarian or environmental causes."
HASS,Economics and Business,Year 7 to Year 10,opportunity cost,The value of the next best alternative that is foregone whenever a choice is made.
HASS,Economics and Business,Year 7 to Year 10,producer,An individual or business involved in production of goods and services.
HASS,Economics and Business,Year 7 to Year 10,product,Goods and services.
HASS,Economics and Business,Year 7 to Year 10,productivity,Measures of how efficiently an economy uses scarce resources to produce goods and services. The common measure of an economy’s productivity is gross domestic product (GDP).
HASS,Economics and Business,Year 7 to Year 10,region / regional,An area of the world sharing common characteristics (e.g. a geographical region such as South East Queensland or a regional intergovernmental organisation such as the Association of South-East Asian Nations (ASEAN)).
HASS,Economics and Business,Year 7 to Year 10,register,The level of formality of language used for a particular purpose and audience. Generally variation in register moves from formal (Good morning) to informal (Hi).
HASS,Economics and Business,Year 7 to Year 10,resources,"The 4 factors of production used to produce goods and services that satisfy needs and wants: land, labour, capital and enterprise."
HASS,Economics and Business,Year 7 to Year 10,rights and responsibilities of individuals and businesses,The freedoms individuals and businesses are entitled to by law when buying or selling products and the obligations that ensure those rights are protected.
HASS,Economics and Business,Year 7 to Year 10,savings plan,A financial planning process used to retain a portion of income instead of spending it on the consumption of goods and services with the goal of building income or wealth over time.
HASS,Economics and Business,Year 7 to Year 10,scarcity,The economic problem of the gap between unlimited wants and limited resources available to satisfy those wants.
HASS,Economics and Business,Year 7 to Year 10,sector,The 3 fields that organise industry. The primary sector produces goods that are natural resources (e.g. agriculture); secondary sector converts primary goods (e.g. manufacture); tertiary sector provides services.
HASS,Economics and Business,Year 7 to Year 10,service,"An intangible product that satisfies needs and wants (e.g. education, communication, transportation, retail, recreation services)."
HASS,Economics and Business,Year 7 to Year 10,standard of living,"Measures or indicators of wealth, welfare or material comfort of the average person in a population, typically measured using gross domestic product or the Human Development Index."
HASS,Economics and Business,Year 7 to Year 10,superannuation,"Lump sum or regular payments individuals receive on retirement from income invested by the individual and their employer (e.g. corporate, industry, retail and self-managed funds)."
HASS,Economics and Business,Year 7 to Year 10,supply,"The quantity of a good or service a producer is willing to offer for sale at a set price, with an increase in price likely to increase the quality supplied, and vice versa."
HASS,Economics and Business,Year 7 to Year 10,supply chain,A system of sequenced and interconnected processes in the production and distribution of goods and services in an economy.
HASS,Economics and Business,Year 7 to Year 10,tax file number,A reference number issued to individuals used for taxation and superannuation purposes.
HASS,Economics and Business,Year 7 to Year 10,taxation,A system used by governments to impose different types of tax and collect money from individuals and businesses.
HASS,Economics and Business,Year 7 to Year 10,trade,The import (buying) and export (selling) of goods and services in the economy.
HASS,Economics and Business,Year 7 to Year 10,trade­off,The next best opportunity foregone when deciding between 2 alternatives.
HASS,Economics and Business,Year 7 to Year 10,traditional owners,The original owners of a particular region based on their traditional and cultural associations with the land and who have ongoing traditional and cultural connections to that Country/Place.
HASS,Economics and Business,Year 7 to Year 10,transnational corporations (TNC),Businesses that operate across country borders (e.g. a business may have its headquarters in one country and produce goods in one or more other countries).
HASS,Economics and Business,Year 7 to Year 10,types of business,"Businesses of different sizes and structures (e.g. sole proprietorship, partnership, cooperative, franchise, not-for-profit, public company). Each type has its own legal and financial implications."
HASS,Economics and Business,Year 7 to Year 10,validity,The state of being logically or factually sound.
HASS,Economics and Business,Year 7 to Year 10,values,Ideas and beliefs specific to individuals and groups.
HASS,Economics and Business,Year 7 to Year 10,want,"A good or service that is desired to provide satisfaction to a user, but which is not necessary for survival or to meet the basic standard of living in a community."
HASS,Economics and Business,Year 7 to Year 10,work,"Labour to produce goods and services (e.g. physical, intellectual, social or community activities usually in exchange for income to turn resources into products that satisfy unlimited wants and needs)."
