SubjectArea,Subject,Band,Term,Definition
Science,Science,Foundation to Year 10,Mendelian inheritance,An inheritance pattern that follows the laws of segregation and independent assortment in which a gene inherited from either parent segregates into gametes at an equal frequency.
Science,Science,Foundation to Year 10,Model,"A representation that describes, simplifies, clarifies or gives an explanation of the workings, structure or relationships within an object, system or idea."
Science,Science,Foundation to Year 10,Negative feedback mechanism,"A system's output, such as blood glucose level, that causes a reduction or dampening of the process that lead to that output."
Science,Science,Foundation to Year 10,Observable,"Something that can be seen, heard, felt, tasted or smelled either directly by an individual or indirectly by a measuring device (e.g. a ruler, camera or thermometre)."
Science,Science,Foundation to Year 10,Observation,"A representation of something that has been seen, heard, felt, tasted or smelled either directly by an individual or indirectly by a measuring device."
Science,Science,Foundation to Year 10,Outlier,A data point that is far from other data points in a set of data.
Science,Science,Foundation to Year 10,Particle theory,The kinetic theory of matter that all matter consists of tiny indivisible particles that are constantly moving.
Science,Science,Foundation to Year 10,Pattern,A repeated occurrence or sequence.
Science,Science,Foundation to Year 10,Precipitation,"In the water cycle, liquid or frozen water in the atmosphere that falls to Earth as rain, hail or snow. In chemistry, precipitation occurs when an insoluble solid emerges from a liquid solution."
Science,Science,Foundation to Year 10,Precision,"How close 2 or more measurements are to each other, regardless of whether those measurements are accurate. It is possible for measurements to be precise but not accurate."
Science,Science,Foundation to Year 10,Producers,"Living things such as plants and algae that make their own food, usually using energy from sunlight."
Science,Science,Foundation to Year 10,Properties,"Attributes of an object or material, normally used to describe attributes common to a group."
Science,Science,Foundation to Year 10,Reflected,Changed direction of light when it bounces off a surface.
Science,Science,Foundation to Year 10,Refracted,Changed direction (bending) of light when it passes through one transparent substance into another.
Science,Science,Foundation to Year 10,Relationship,A connection or association between ideas or between components of systems and structures.
Science,Science,Foundation to Year 10,Reliability,An extent to which repeated observations and/or measurements taken under identical circumstances will yield similar results.
Science,Science,Foundation to Year 10,Repeatable investigations,Investigations that produce the same results when repeated by the original researcher using the same method and equipment.
Science,Science,Foundation to Year 10,Representation,The means by which science ideas and explanations are understood and communicated. Representations can take many different forms or modes.
Science,Science,Foundation to Year 10,Reproducible investigations,Investigations that when repeated by other researchers using the same method and materials achieves similar results.
Science,Science,Foundation to Year 10,Scientific prediction,A guess about what might happen based on observations.
Science,Science,Foundation to Year 10,Senses,"Hearing, sight, smell, touch and taste."
Science,Science,Foundation to Year 10,Simulation,"A representation of a process, event or system, which imitates the real situation."
Science,Science,Foundation to Year 10,Social (system),"Systems defined by patterns of interactions and relationships between individuals, groups and institutions"
Science,Science,Foundation to Year 10,Synthesis reaction,A reaction in which a more complex compound is produced from simpler compounds (also called combination reactions).
Science,Science,Foundation to Year 10,System,"A group of interacting objects, materials or processes that form an integrated whole."
Science,Science,Foundation to Year 10,Theory,"An explanation of a set of observations that is based on one or more proven hypotheses, which has been accepted through consensus by a group of scientists."
Science,Science,Foundation to Year 10,Transportation,"The movement of sediments, soil and rocks across Earth's surface by water, wind, ice or gravity."
Science,Science,Foundation to Year 10,Trend,General direction in which something is changing.
Science,Science,Foundation to Year 10,Uncertainty,A situation in which something is not known or certain.
Science,Science,Foundation to Year 10,Validity,"An extent to which tests measure what was intended; an extent to which data, inferences and actions produced from tests and other processes are accurate."
Science,Science,Foundation to Year 10,Variable,"A factor that can be changed, kept the same or measured in an investigation (e.g. time, distance, light, temperature)."
Science,Science,Foundation to Year 10,Weathering,"The breaking down or dissolving of rocks, soils and minerals on Earth's surface. This can occur through mechanical, chemical and biological processes."
Science,Science,Foundation to Year 10,World views,"Sets of attitudes, values and beliefs about the world around us which inform our thoughts and actions"
