SubjectArea,Subject,Band,Term,Definition
Technologies,Design and Technologies,Foundation to Year 10,Passive design,"A design approach that uses natural elements – often sunlight – to heat, cool or light a building. Systems that employ passive design reduce or minimise the need for auxiliary heating or cooling."
Technologies,Design and Technologies,Foundation to Year 10,Personal protective equipment (PPE),"Equipment used or worn by a person to minimise risk to the person’s health or safety, e.g. safety goggles, ear muffs, face shield, hard hat, apron, gloves."
Technologies,Design and Technologies,Foundation to Year 10,Perspective drawing,"A drawing that represents the way objects appear to be smaller and closer together, the further away they are. Perspective drawings show 3 different spatial viewpoints."
Technologies,Design and Technologies,Foundation to Year 10,Pictorial and aerial views,"Drawings or maps showing objects from different angles, e.g. pictorial views are 3-dimensional on a 2-dimensional surface, and aerial views are drawings from a height or a wide angle."
Technologies,Design and Technologies,Foundation to Year 10,Pictorial map,A map that uses illustrations rather than conventional cartographic symbols. Often the area shown is viewed from above or on an oblique angle. Pictorial maps are not drawn to scale.
Technologies,Design and Technologies,Foundation to Year 10,Plan view,"A top view or a view as seen from above. Objects or places can be looked at from different points of view including front, side and plan views. An orthogonal drawing view."
Technologies,Design and Technologies,Foundation to Year 10,Play,"Any activity that is positively valued, self-motivated, freely chosen and engaging."
Technologies,Design and Technologies,Foundation to Year 10,Preferred futures,Preferences for the future identified by a student to inform the creation and evaluation of solutions. This entails students considering how the solutions they create now may be used in the future.
Technologies,Design and Technologies,Foundation to Year 10,Preparing soil,"The processes of tillage, addition of organic matter and fertilisers, and drainage before establishing a food or fibre crop."
Technologies,Design and Technologies,Foundation to Year 10,Production drawings,Working drawings that detail the requirements for the manufacture and assembly of products and environments.
Technologies,Design and Technologies,Foundation to Year 10,Production processes,"The technologies context–specific processes used to transform technologies into products, services or environments, e.g. the steps used for producing a product."
Technologies,Design and Technologies,Foundation to Year 10,Products,"The tangible end results of natural, human, mechanical, manufacturing, electronic or digital processes and production to meet a need or want."
Technologies,Design and Technologies,Foundation to Year 10,Project management,"Detailed proposals for managing projects so they can meet the design criteria, e.g. plans usually list and sequence tasks, and indicate the required resources, costs and timelines."
Technologies,Design and Technologies,Foundation to Year 10,Properties,"Distinctive qualities of a material that can be tested and used to help people select the most suitable one for a specific use, e.g. absorption, corrosion, insulation, opaqueness and sensory."
Technologies,Design and Technologies,Foundation to Year 10,Rapid prototyping,A range of techniques used to quickly fabricate a scale model of a physical part or assembly using 3-dimensional computer-aided drawing. Construction of the scale model can be done using 3D printing.
Technologies,Design and Technologies,Foundation to Year 10,Rendered,"A drawing that shows the relative relationship of elements or the form of objects using texture, colour, light, shade and tone (lightness or darkness of a colour)."
Technologies,Design and Technologies,Foundation to Year 10,Resources,"Assets available to assist in meeting needs or opportunities including energy, time, finance and human input."
Technologies,Design and Technologies,Foundation to Year 10,Sensory properties,"Attributes used to evaluate and describe foods on the basis of senses. They include taste, aroma, texture or mouthfeel, appearance and noise. Each relates to a sense and can impact food choices."
Technologies,Design and Technologies,Foundation to Year 10,Services,The less tangible outcomes of technologies processes (compared with products). They may involve the development or maintenance of a system such as catering and water management.
Technologies,Design and Technologies,Foundation to Year 10,Side view,Drawing of an object to show what it looks like when viewed from its side. An orthogonal drawing view.
Technologies,Design and Technologies,Foundation to Year 10,Technologies contexts,"The focus and opportunities for students to use a broad range of processes and production skills to design and produce products, services and environments. Contexts are prescribed for Years 1 to 8."
Technologies,Design and Technologies,Foundation to Year 10,Thumbnail sketches,Quickly developed outlines or small representations of objects and ideas to inform development of designed solutions.
Technologies,Design and Technologies,Foundation to Year 10,Top view,Drawing of an object to show what it looks like when viewed from above. An orthagonal drawing view.
Technologies,Design and Technologies,Foundation to Year 10,Traditional owners,The original owners of a particular region based on their traditional and cultural associations with the land and who have ongoing traditional and cultural connections to that Country/Place.
Technologies,Design and Technologies,Foundation to Year 10,Working models,Physical prototypes or virtual engineering simulations that can be used to evaluate performance and test how components interact.
