SubjectArea,Subject,Band,Term,Definition
Technologies,Digital Technologies,Foundation to Year 10,heading hierarchies,"Ordering or ranking systems that group content into main headings and subheadings and help with locating information, e.g. a range of font sizes from large to small shows their relative importance."
Technologies,Digital Technologies,Foundation to Year 10,input,Data acquired from a user or digital system or sensed from the environment that an algorithm or programme can respond to.
Technologies,Digital Technologies,Foundation to Year 10,integers,"Whole numbers including those with negative signs, e.g. -4, -2. Sometimes defined as numbers that can be written without fractional components."
Technologies,Digital Technologies,Foundation to Year 10,interactive content,"Output that involves the user being able to change the behaviour, view or result by providing some input, e.g. interactive quizzes, training manuals, visualisations with sliders and games."
Technologies,Digital Technologies,Foundation to Year 10,interactive tools,"Software that supports users being able to change the behaviour, view or results by providing some input. Interactive tools (e.g. spreadsheets) help users draw conclusions and make predictions."
Technologies,Digital Technologies,Foundation to Year 10,internal components,"Hardware components inside a digital system for storing data (e.g. random access memory), for processing data (e.g. central processing unit) and for connectivity purposes (e.g. motherboard)."
Technologies,Digital Technologies,Foundation to Year 10,internet,Globally interconnected network of digital systems communicating using standardised internet protocols such as TCP/IP.
Technologies,Digital Technologies,Foundation to Year 10,iteration,"Repetition of a set of steps or instructions in an algorithm or programme, e.g. a loop in a flowchart, a repeat block of FOR, WHILE statements."
Technologies,Digital Technologies,Foundation to Year 10,logical operators,"An operator or function to combine Boolean (true or false) values, including AND, OR and NOT, e.g. the 'x AND y' operation is only true if both 'x' and 'y' are true."
Technologies,Digital Technologies,Foundation to Year 10,markup,"Tags (or annotations) created by a markup language such as HTML, XML or SVG that define the separate elements within a document. Markups tell a browser how a file should be arranged and displayed."
Technologies,Digital Technologies,Foundation to Year 10,model,"A visual or physical representation that describes, simplifies, clarifies or gives an explanation of the workings, structure or relationships within an object, system or idea."
Technologies,Digital Technologies,Foundation to Year 10,modular programs,Programmes separated into individual well-defined modules of code that perform related tasks. Each sub-divided programme or module performs one aspect of the required functionality of the solution.
Technologies,Digital Technologies,Foundation to Year 10,multi-factor authentication,"A security system that typically requires 2 or more authentication factors to identify a person for access purposes, e.g. a personal identification number, a swipe card and a biometric."
Technologies,Digital Technologies,Foundation to Year 10,multidimensional data,"Data that has many dimensions and values. The data is structured in many rows and columns and can be modelled and viewed in multiple dimensions, facilitating interpretation."
Technologies,Digital Technologies,Foundation to Year 10,multiple alternatives (branching),Algorithmic expressions that involve making multiple yes or no decisions based on defined conditions and the data provided.
Technologies,Digital Technologies,Foundation to Year 10,nested control structures,"Control structures that are placed within other control structures, e.g. IF, THEN, ELSE block placed within a FOR, NEXT loop."
Technologies,Digital Technologies,Foundation to Year 10,networked digital systems,Digital systems connected via the internet or bluetooth devices that allow data to be transmitted. The connection can be established via cables (wired) or without the use of cables (wireless).
Technologies,Digital Technologies,Foundation to Year 10,object-oriented programming language,A programmeming language which supports declaring classes to define objects and their behaviour. Objects combine data (attributes) and actions that can be performed on that data (methods).
Technologies,Digital Technologies,Foundation to Year 10,online safety,"The practise of individuals protecting themselves and others from online harm and risks, which might jeopardise their personal information, lead to unsafe communications or affect their mental health and wellbeing."
Technologies,Digital Technologies,Foundation to Year 10,outliers,A data point that appears to differ significantly from other data points in a set of data or a trend. Due to variability or an error an outlier may be excluded from analysis.
Technologies,Digital Technologies,Foundation to Year 10,passphrases,A string of words that is used for authentication purposes to gain access to a digital system. They need to be memorable to the user but difficult to guess or determine.
Technologies,Digital Technologies,Foundation to Year 10,performance,"Measurements of the accuracy, speed and efficiency with which digital systems can carry out tasks, e.g. a hard disk's performance can be measured by how fast it transfers data."
Technologies,Digital Technologies,Foundation to Year 10,peripherals,"Digital components that can be externally connected to a digital system to extend its functionality but are not essential to the operation of the system, e.g. a speaker and a printer."
Technologies,Digital Technologies,Foundation to Year 10,personal accounts,"Accounts used on different platforms (websites and apps) for school and home use, e.g. students can have personal accounts to gain access to music, gaming, sport and school resources."
Technologies,Digital Technologies,Foundation to Year 10,phishing,Fraudulent practise of sending untargeted emails asking people to reveal sensitive data such as bank details or encourageing people to open a malicious attachment or download malicious content.
Technologies,Digital Technologies,Foundation to Year 10,privacy,The ability of an individual or group to control who can use or see information about themselves. Information privacy is related to how personal data and information is handled.
Technologies,Digital Technologies,Foundation to Year 10,project management,"Detailed proposals for manageing projects so they can meet the design criteria, e.g. plans usually list and sequence tasks, and indicate the required resources, costs and timelines."
Technologies,Digital Technologies,Foundation to Year 10,project management tools,"Software that supports the planning and tracking of projects. Project management tools provide visualisations of the workflow, timeframe and resources involved in completing a project."
Technologies,Digital Technologies,Foundation to Year 10,prototype,"A trial model used to test an idea or process and to inform further design development. Its purpose is to see if and how well the design works. It is tested by users, programmemers and analysts."
Technologies,Digital Technologies,Foundation to Year 10,pseudocode,"English language statements that describe the steps in an algorithm in a clear, unambiguous way. It can be easily translated into code using a programmeming language."
