SubjectArea,Subject,Band,Term,Definition
HASS,Geography,Year 7 to Year 10,intertextual references,"Associations or connections between one text and other texts that may be overt or less explicit. They can take the form of direct quotation, parody, allusion or structural borrowing."
HASS,Geography,Year 7 to Year 10,invasion,Entrance as if to take possession or overrun. British colonisation was experienced by First Nations Australians as an invasion that denied their occupation of and connection to Country/Place.
HASS,Geography,Year 7 to Year 10,kinship,"A system used to decide how people relate to each other and their roles, responsibilities and duties. A feature of First Nations Australians' social organisation and family relationships."
HASS,Geography,Year 7 to Year 10,land and water degradation,"Threats to the function of land and water resources (e.g. salinity, soil erosion, soil fertility decline, soil acidification, invasive plants, loss of biodiversity and habitats, pollution)."
HASS,Geography,Year 7 to Year 10,landform,"An individual surface feature of Earth identified by its shape (e.g. dune, plateau, canyon, beach, plain, hill, river, valley)."
HASS,Geography,Year 7 to Year 10,landscape,"The visible appearance of an area, created by a combination of geological, geomorphological, biological and cultural layers that have evolved over time, and as perceived and valued by people."
HASS,Geography,Year 7 to Year 10,lithosphere,"One of the interconnected systems of Earth; it consists of the interior and surface of Earth, both of which are made up of rocks. Also called geosphere."
HASS,Geography,Year 7 to Year 10,liveability,"Use of criteria to assess what a place is like to live in, such as environmental quality or education and health provision or availability of recreational facilities."
HASS,Geography,Year 7 to Year 10,location,A position or site marked by a distinguishing feature; where a particular point or object exists.
HASS,Geography,Year 7 to Year 10,migration,"Movement of people from living in one defined area to living in another (e.g. internal migration within a country, or international migration between countries)."
HASS,Geography,Year 7 to Year 10,multidimensional data,"Data that has many dimensions and values. The data is structured in many rows and columns and can be modelled and viewed in multiple dimensions, facilitating interpretation."
HASS,Geography,Year 7 to Year 10,non-government organisation,"Non-profit, voluntary, independent group, organised at a local, national or international level, whose purpose is to address social or political issues such as humanitarian or environmental causes."
HASS,Geography,Year 7 to Year 10,non-renewable,Of or relating to resources developed by geological processes over time which cannot be replenished quickly and are finite (e.g. mineral deposits and fossil fuels).
HASS,Geography,Year 7 to Year 10,perception,"Subjective assessment of places and environments using criteria, and recognising lived experience and the attitudes of others."
HASS,Geography,Year 7 to Year 10,primary research method,Materials collected firsthand or from fieldwork related to a geographical inquiry (e.g. by recording observations or conducting surveys and interviews).
HASS,Geography,Year 7 to Year 10,region / regional,An area of the world sharing common characteristics (e.g. a geographical region such as South East Queensland or a regional intergovernmental organisation such as the Association of South-East Asian Nations (ASEAN)).
HASS,Geography,Year 7 to Year 10,register,The level of formality of language used for a particular purpose and audience. Generally variation in register moves from formal (Good morning) to informal (Hi).
HASS,Geography,Year 7 to Year 10,renewable,"Of or relating to resources which can be replenished because they are naturally replaced, or can be replaced, such as solar power, animal life and timber."
