SubjectArea,Subject,Band,Term,Definition
HASS,History,Year 7 to Year 10,Gallipoli campaign,"An 8-month battle in 1915 as part of the First World War involving British and ANZAC forces and Germany's ally, Turkey, and characterised as a military failure and a symbol of a federated Australia."
HASS,History,Year 7 to Year 10,Gulf War (the),A conflict in the early 1990s involving coalition forces from 35 nations led by the USA against Iraq in response to Iraq's invasion of Kuwait and tensions about pricing of oil.
HASS,History,Year 7 to Year 10,historical influence,"Historical factors that influence an event such as the ideas, individuals, groups and institutions of a period of history."
HASS,History,Year 7 to Year 10,Holocaust,"Development in the 1930s and 1940s mostly in sites across Germany involving the mass-scale killing of about 6 million Jewish people as well as Romani people, homosexuals and other people."
HASS,History,Year 7 to Year 10,Imperialism,"Ideology affecting the organisation of societies, involving a nation expanding its authority over other territories (e.g. colonisation, use of military force, economic control or by other means)."
HASS,History,Year 7 to Year 10,Industrial Revolution,Development in the 18th and 19th centuries arising from technological innovations that transformed agrarian societies to urban-based societies with industrial manufacturing economies.
HASS,History,Year 7 to Year 10,intertextual references,"Associations or connections between one text and other texts that may be overt or less explicit. They can take the form of direct quotation, parody, allusion or structural borrowing."
HASS,History,Year 7 to Year 10,invasion,Entrance as if to take possession or overrun. British colonisation was experienced by First Nations Australians as an invasion that denied their occupation of and connection to Country/Place.
HASS,History,Year 7 to Year 10,Irish Potato Famine,"An event involving mass starvation of people in Ireland from 1845 until 1852 due to a blight that destroyed potato crops, which led to many survivors migrating, including to the Australian colonies."
HASS,History,Year 7 to Year 10,kinship,"A system used to decide how people relate to each other and their roles, responsibilities and duties. A feature of First Nations Australians' social organisation and family relationships."
HASS,History,Year 7 to Year 10,Kokoda,"A 7-month battle in the Second World War fought in 1942 between Japan and the Allies, a turning point in stopping the advance of Japan across the Pacific and towards Australia."
HASS,History,Year 7 to Year 10,land tenure systems,The manner in which First Nations Australians held or occupied land and their relationships with Country and Place within traditional social and cultural structures.
HASS,History,Year 7 to Year 10,lore,"Orally transmitted beliefs, rules, customs and stories representing complex systems of relationships and laws governing traditional lives and societies of First Nations Australians."
HASS,History,Year 7 to Year 10,material culture,"Physical features of a particular culture created by people such as the objects and belongings used in everyday life (e.g. transport, buildings, tools and toys)."
HASS,History,Year 7 to Year 10,medieval,"Historical period from the fall of the Roman Empire in Western Europe c. 500 AD (CE) to the Renaissance c. 1500 AD (CE), characterised by an agrarian society, contact between societies and new ideas."
HASS,History,Year 7 to Year 10,modern,"Historical period in Western societies spanning the Industrial Revolution in the 18th century to the present, characterised by rapid change in the way people lived, worked and thought."
HASS,History,Year 7 to Year 10,moiety,"An introduced kinship term describing the division of First Nations Australian societies and environments into matrilineal and patrilineal halves which determine relationships, including marriage."
HASS,History,Year 7 to Year 10,multidimensional data,"Data that has many dimensions and values. The data is structured in many rows and columns and can be modelled and viewed in multiple dimensions, facilitating interpretation."
HASS,History,Year 7 to Year 10,National Sorry Day,An annual event held on 26 May to commemorate the Stolen Generations and which marks the anniversary of the tabling of the Bringing Them Home report in the Australian Parliament in 1997.
HASS,History,Year 7 to Year 10,nationalism,"A movement expressed through feelings of belonging and loyalty to a people, nation or a common culture, leading to calls for national independence in the 20th century in colonies in Asia and Africa."
HASS,History,Year 7 to Year 10,native title,"Recognition that First Nations Peoples of Australia have rights to and interests in lands and waters, as set out in Australian law, according to their traditional law and customs."
HASS,History,Year 7 to Year 10,non-government organisation (NGO),"A non-profit, voluntary, independent group, organised at a local, national or international level, whose purpose is to address social or political issues such as humanitarian or environmental causes."
HASS,History,Year 7 to Year 10,origin of source,Analysis of a source to establish who created the source as well as where and when it was produced.
HASS,History,Year 7 to Year 10,pre-modern,"Historical period in Western societies viewed by some historians as running from the Renaissance to the French Revolution, characterised by globalisation, economic change and emergence of new ideas."
HASS,History,Year 7 to Year 10,prehistory,"Historical period before the existence of written records, characterised by the development of cultural practises and organised societies."
HASS,History,Year 7 to Year 10,primary sources,"Objects and documents created or written during the time being investigated (e.g. artefacts; official documents such as treaties; personal documents such as diaries, photographs and film)."
HASS,History,Year 7 to Year 10,purpose (of source),Analysis of a source to establish the original reason for its creation.
HASS,History,Year 7 to Year 10,Redfern Speech (the),"A 1992 speech delivered by then Prime Minister Keating and recognised as a turning point in reconciliation, where the Australian Government acknowledged the dispossession of First Nations Australians."
HASS,History,Year 7 to Year 10,region / regional,An area of the world sharing common characteristics (e.g. a geographical region such as South East Queensland or a regional intergovernmental organisation such as the Association of South-East Asian Nations (ASEAN)).
HASS,History,Year 7 to Year 10,register,The level of formality of language used for a particular purpose and audience. Generally variation in register moves from formal (Good morning) to informal (Hi).
HASS,History,Year 7 to Year 10,Renaissance,"Historical period in Western societies in the 15th and 16th centuries characterised by cultural, artistic, political and economic renewal."
HASS,History,Year 7 to Year 10,Roaring Twenties,"Historical period in Western societies in the 1920s characterised by economic growth, technological change, the emergence of a consumerism and a youth culture."
HASS,History,Year 7 to Year 10,Russian Revolution,"A series of events in the Russian Empire in 1917–18 involving political and social unrest, the abdication of the monarch, civil war and the emergence of government led by the Bolsheviks under Lenin."
HASS,History,Year 7 to Year 10,Sahul,The ancient mega-continent that included what is now Australia.
HASS,History,Year 7 to Year 10,Scientific Revolution,A series of events during the pre-modern period in c. 1500–1600 AD (CE) in Western societies marking the emergence of modern science and the transformation of societal views.
HASS,History,Year 7 to Year 10,secondary sources,"Accounts created after the time being investigated which refer to primary sources and present an interpretation (e.g. writings of historians, encyclopaedias, documentaries, textbooks and websites)."
HASS,History,Year 7 to Year 10,social organisation,"Pattern of social relationships, norms, roles and institutions characteristic of a particular society or group within a society."
HASS,History,Year 7 to Year 10,socialism,"A political, social and economic philosophy that gives higher priority to social needs, favouring government intervention and provision of social services."
HASS,History,Year 7 to Year 10,Somme,"A series of battles fought during 1916 along the Somme valley in France, as part of First World War and characterised by great loss of life."
HASS,History,Year 7 to Year 10,Stolen Generations (the),A name given to the generations of Aboriginal children removed from their families in the 20th century as a result of the policies of Australian and state and territory governments.
HASS,History,Year 7 to Year 10,terra nullius,A concept in international law meaning 'a territory belonging to no-one' or 'over which no­one claims ownership'. The concept has been used to justify the colonisation of Australia.
HASS,History,Year 7 to Year 10,totem,"An introduced term related to First Nations Australian kinship structures where the elements of nation, clan, family group and the individual link people to land, air, water and geographical features."
HASS,History,Year 7 to Year 10,traditional owners,The original owners of a particular region based on their traditional and cultural associations with the land and who have ongoing traditional and cultural connections to that Country/Place.
HASS,History,Year 7 to Year 10,truth-telling,A reconciliation process involving First Nations Australians recording evidence of the impacts of colonisation as well as past atrocities being acknowledged by the broader community.
HASS,History,Year 7 to Year 10,turning point,"The point at which significant change takes place, directly or indirectly caused by a specific event and representing enduring change."
HASS,History,Year 7 to Year 10,Uluru Statement from the Heart,"A resolution calling for the establishment of a First Nations Voice in the Australian Constitution, issued by a 2017 constitutional convention involving First Nations Australian leaders."
HASS,History,Year 7 to Year 10,usefulness (of source),The analysis of a source to determine how relevant it is in relation to historical questions.
HASS,History,Year 7 to Year 10,validity,The state of being logically or factually sound.
HASS,History,Year 7 to Year 10,values,Ideas and beliefs specific to individuals and groups.
