SubjectArea,Subject,Band,Term,Definition
HASS,HASS,Foundation to Year 6,election,An agreed voting process for citizens to express a preference for a candidate to represent their community or region. In Australia elections are administered by the Australian Electoral Commission.
HASS,HASS,Foundation to Year 6,elector,A citizen who has the right to participate in an election and chooses to do so.
HASS,HASS,Foundation to Year 6,empire,"A political or economic unit or collection of states ruled over or controlled by a single monarch, or emperor or empress, or a sovereign state, through political, legal and economic systems."
HASS,HASS,Foundation to Year 6,environmental resource,"A valuable or useful material; characterised as renewable (used repeatedly and not depleted), non-renewable (after use cannot be replenished) or continuous (availability unaffected by use)."
HASS,HASS,Foundation to Year 6,evaluative language,"Positive or negative language that judges the worth of something. It includes language to express feelings and opinions; make judgements; and assess quality of objects, ideas and features of texts."
HASS,HASS,Foundation to Year 6,Executive,"In the context of Australia, the Prime Minister and ministers, who report to parliament, oversee the implementation of policies and the administration of law which is undertaken by public servants."
HASS,HASS,Foundation to Year 6,features of a place,"Visible elements of a place; classified as natural (e.g. rivers), managed (e.g. parks, farms) and constructed or built (e.g. home, a city)."
HASS,HASS,Foundation to Year 6,federalism,A system of government in which powers and responsibilities are divided between a national government and separate governments in states or territories.
HASS,HASS,Foundation to Year 6,Federation (Australia's),The process by which 6 self-governing British colonies came together as states in a unified country known as the Commonwealth of Australia.
HASS,HASS,Foundation to Year 6,fieldwork,"Active and firsthand collection, examination, interpretation and analysis of materials in relation to geographical questions; often conducted from outside the classroom at a local scale."
HASS,HASS,Foundation to Year 6,geographical diversity,"The different range of environments and varied ways of living in a region, which can be influenced by a range of factors, e.g. climate, topography, beliefs, social structures, culture."
HASS,HASS,Foundation to Year 6,geographical division,"Divisions of Earth's surface based on human-defined scales (e.g. local, state or territory, national, regional, global)."
HASS,HASS,Foundation to Year 6,geospatial tools,"Tools (software or hardware) enabling collection, storage, mapping, representation and visualisation of the occurrence of geographical phenomena and challenges for analysis of causes and effects."
HASS,HASS,Foundation to Year 6,global citizen,"At a global level, an individual’s rights are defined by the Universal Declaration of Human Rights and responsibilities are interpreted differently (e.g. to care for the environment)."
HASS,HASS,Foundation to Year 6,good,A tangible item that satisfies needs and wants.
HASS,HASS,Foundation to Year 6,government (Australian),"The official title of the Australian Government (or federal government) is the Commonwealth of Australia, as established by the Commonwealth of Australia Constitution Act at the time of Federation."
HASS,HASS,Foundation to Year 6,government (levels of),"Three forms of government in Australia made up of local government, state or territory government and federal government."
HASS,HASS,Foundation to Year 6,Governor­-General,"A representative of a monarch who is the head of state and whose role and powers are defined in a nation’s constitution. In practise, the representative performs constitutional and ceremonial duties."
HASS,HASS,Foundation to Year 6,human rights,"The basic rights and freedoms to which all humans are entitled, often held to include the right to life and liberty, freedom of thought and expression, and equality before the law."
HASS,HASS,Foundation to Year 6,identity,"A person’s conception and expression of their individuality or association with a group; sense of belonging to a culture, state or nation, a region or the world regardless of one's citizenship status."
HASS,HASS,Foundation to Year 6,Industrial Revolution,Development in the 18th and 19th centuries arising from technological innovations that transformed agrarian societies to urban-based societies with industrial manufacturing economies.
HASS,HASS,Foundation to Year 6,intertextual references,"Associations or connections between one text and other texts that may be overt or less explicit. They can take the form of direct quotation, parody, allusion or structural borrowing."
HASS,HASS,Foundation to Year 6,invasion,Entrance as if to take possession or overrun. British colonisation was experienced by First Nations Australians as an invasion that denied their occupation of and connection to Country/Place.
HASS,HASS,Foundation to Year 6,Irish Potato Famine,"An event involving mass starvation of people in Ireland from 1845 until 1852 due to a blight that destroyed potato crops, which led to many survivors migrating, including to the Australian colonies."
HASS,HASS,Foundation to Year 6,justice,The concept that all people have the right to fair treatment and equal access to the benefits of society.
HASS,HASS,Foundation to Year 6,kinship,"A system used to decide how people relate to each other and their roles, responsibilities and duties. A feature of First Nations Australians' social organisation and family relationships."
HASS,HASS,Foundation to Year 6,landform,"An individual surface feature of Earth identified by its shape (e.g. dune, plateau, canyon, beach, plain, hill, river, valley)."
HASS,HASS,Foundation to Year 6,landscape,"The visible appearance of an area, created by a combination of geological, geomorphological, biological and cultural layers that have evolved over time, and as perceived and valued by people."
HASS,HASS,Foundation to Year 6,law,A system of rules that a particular country or community recognises as regulating the actions of its members and which it may enforce by imposing penalties and sanctions.
HASS,HASS,Foundation to Year 6,location,A position or site marked by a distinguishing feature; where a particular point or object exists.
HASS,HASS,Foundation to Year 6,lore,"Orally transmitted beliefs, rules, customs and stories representing complex systems of relationships and laws governing traditional lives and societies of First Nations Australians."
HASS,HASS,Foundation to Year 6,management of spaces,Planned strategic action to maintain or restore spaces.
HASS,HASS,Foundation to Year 6,migration,"Movement of people from living in one defined area to living in another (e.g. internal migration within a country, or international migration between countries)."
